transaction_id,timestamp,transaction_type,amount,account_id,merchant,location,hour,day_of_week,is_weekend,hourly_velocity,is_fraud
TXN00000001,2025-05-12 18:45:43.062831,ONLINE_PURCHASE,271.08,ACC5142,MERCHANT_302,PHOENIX,18,0,0,1,0
TXN00000002,2025-05-07 01:03:02.062831,ATM_WITHDRAWAL,169.31,ACC7771,MERCHANT_331,NEW_YORK,1,2,0,1,0
TXN00000003,2025-05-04 03:39:03.062831,ONLINE_PURCHASE,131.88,ACC2314,MERCHANT_281,LOS_ANGELES,3,6,1,1,0
TXN00000004,2025-05-18 04:36:05.062831,ONLINE_PURCHASE,162.92,ACC5265,MERCHANT_236,INTERNATIONAL,4,6,1,1,0
TXN00000005,2025-05-26 10:53:47.062831,DIRECT_DEPOSIT,96.97,ACC3938,MERCHANT_103,LOS_ANGELES,10,0,0,1,0
TXN00000006,2025-05-30 08:22:23.062831,CARD_PAYMENT,74.06,ACC9883,MERCHANT_465,PHOENIX,8,4,0,1,0
TXN00000007,2025-05-23 17:27:06.062831,ONLINE_PURCHASE,11.75,ACC6880,MERCHANT_199,NEW_YORK,17,4,0,1,0
TXN00000008,2025-05-16 11:58:12.062831,ATM_WITHDRAWAL,50.89,ACC7710,MERCHANT_324,CHICAGO,11,4,0,1,0
TXN00000009,2025-05-18 12:21:03.062831,DIRECT_DEPOSIT,138.09,ACC3528,MERCHANT_492,ONLINE,12,6,1,1,0
TXN00000010,2025-05-16 17:22:01.062831,ONLINE_PURCHASE,102.38,ACC7345,MERCHANT_304,LOS_ANGELES,17,4,0,1,0
TXN00000011,2025-06-02 07:01:30.062831,ONLINE_PURCHASE,133.51,ACC7769,MERCHANT_268,INTERNATIONAL,7,0,0,1,0
TXN00000012,2025-05-26 20:25:59.062831,CARD_PAYMENT,340.22,ACC1265,MERCHANT_63,CHICAGO,20,0,0,1,0
TXN00000013,2025-05-18 20:33:12.062831,CARD_PAYMENT,64.19,ACC3870,MERCHANT_10,HOUSTON,20,6,1,1,0
TXN00000014,2025-05-29 11:25:22.062831,CHECK_DEPOSIT,356.89,ACC7326,MERCHANT_401,ONLINE,11,3,0,1,0
TXN00000015,2025-05-23 22:32:39.062831,ATM_WITHDRAWAL,68.0,ACC4233,MERCHANT_252,HOUSTON,22,4,0,1,0
TXN00000016,2025-05-21 21:59:21.062831,DIRECT_DEPOSIT,234.21,ACC2590,MERCHANT_168,CHICAGO,21,2,0,1,0
TXN00000017,2025-05-30 09:03:04.062831,ATM_WITHDRAWAL,172.48,ACC6706,MERCHANT_347,INTERNATIONAL,9,4,0,1,0
TXN00000018,2025-05-08 14:01:16.062831,CARD_PAYMENT,240.37,ACC5181,MERCHANT_336,ONLINE,14,3,0,1,0
TXN00000019,2025-05-09 04:13:10.062831,ONLINE_PURCHASE,498.43,ACC6598,MERCHANT_264,INTERNATIONAL,4,4,0,1,1
TXN00000020,2025-05-24 16:02:05.062831,DIRECT_DEPOSIT,79.09,ACC1487,MERCHANT_496,LOS_ANGELES,16,5,1,1,0
TXN00000021,2025-06-01 19:47:05.062831,DIRECT_DEPOSIT,216.89,ACC8228,MERCHANT_130,INTERNATIONAL,19,6,1,1,1
TXN00000022,2025-05-11 09:40:57.062831,CARD_PAYMENT,103.49,ACC2688,MERCHANT_153,NEW_YORK,9,6,1,1,0
TXN00000023,2025-05-18 19:24:48.062831,ONLINE_PURCHASE,150.87,ACC1380,MERCHANT_158,NEW_YORK,19,6,1,1,0
TXN00000024,2025-05-24 12:18:35.062831,ATM_WITHDRAWAL,449.74,ACC6569,MERCHANT_104,ONLINE,12,5,1,1,0
TXN00000025,2025-06-01 12:57:17.062831,DIRECT_DEPOSIT,343.69,ACC4571,MERCHANT_291,HOUSTON,12,6,1,1,0
TXN00000026,2025-05-10 05:54:16.062831,DIRECT_DEPOSIT,261.91,ACC1990,MERCHANT_344,ONLINE,5,5,1,1,0
TXN00000027,2025-05-06 21:50:52.062831,ONLINE_PURCHASE,61.86,ACC2514,MERCHANT_300,CHICAGO,21,1,0,1,0
TXN00000028,2025-05-19 02:11:01.062831,CARD_PAYMENT,244.69,ACC8346,MERCHANT_120,NEW_YORK,2,0,0,1,0
TXN00000029,2025-05-14 15:39:43.062831,ONLINE_PURCHASE,379.58,ACC6842,MERCHANT_227,HOUSTON,15,2,0,1,0
TXN00000030,2025-05-24 22:14:06.062831,WIRE_TRANSFER,97.58,ACC4383,MERCHANT_391,NEW_YORK,22,5,1,1,0
