step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,hour,day,amount_to_balance_ratio,balance_change_orig,balance_change_dest
103,TRANSFER,52.25,C000000001,25519.02,25466.77,C000010267,38.28,90.53,0,7,5,0.0020474121885484414,-52.25,52.25
436,CASH_OUT,33.31,C000000002,11950.17,11916.86,C000017318,2409.73,2409.73,0,4,19,0.0027871748121732014,-33.30999999999949,0.0
271,CASH_OUT,7.28,C000000003,416.24,408.96,C000011881,20836.68,20836.68,0,7,12,0.017447991563608475,-7.28000000000003,0.0
107,CASH_OUT,1078.91,C000000004,503.04,0.0,C000011549,854.84,854.84,1,11,5,2.1405245615427346,-503.04,0.0
72,PAYMENT,104.65,C000000005,5116.8,5012.15,C000010382,6499.54,6604.19,0,0,4,0.02044823947790066,-104.65000000000055,104.64999999999964
701,PAYMENT,12.27,C000000006,233.43,221.16,C000011636,79.24,91.51,0,5,30,0.052339717612933497,-12.27000000000001,12.27000000000001
21,TRANSFER,28.42,C000000007,7503.76,7475.34,C000018877,115.85,144.27,0,21,1,0.003786929895159872,-28.420000000000073,28.420000000000016
615,PAYMENT,26.21,C000000008,121.22,95.01,C000017418,1539.29,1565.5,0,15,26,0.21444935362461137,-26.209999999999994,26.210000000000036
122,CASH_IN,161.75,C000000009,16786.83,16948.58,C000012638,81.4,81.4,0,2,6,0.009634955798337248,161.75,0.0
467,TRANSFER,1255.06,C000000010,1839.87,584.81,C000015571,15.93,1270.99,0,11,20,0.681775464861723,-1255.06,1255.06
215,PAYMENT,74.0,C000000011,3604.35,3530.35,C000014850,1805.81,1879.81,1,23,9,0.020525053046167502,-74.0,74.0
331,CASH_OUT,1.64,C000000012,970.14,968.5,C000016051,95.83,95.83,0,19,14,0.001688736948328768,-1.6399999999999864,0.0
459,TRANSFER,101.66,C000000013,172.81,71.15,C000011952,8.38,110.04,1,3,20,0.5848915482423336,-101.66,101.66000000000001
88,PAYMENT,108.59,C000000014,18997.12,18888.53,C000019638,4109.84,4218.43,0,16,4,0.005715828724105333,-108.59000000000015,108.59000000000015
373,DEBIT,94.65,C000000015,22104.84,22010.19,C000015946,1107.47,1107.47,0,13,16,0.004281673982983682,-94.65000000000146,0.0
100,DEBIT,42.31,C000000016,1759.47,1717.16,C000010021,1628.57,1628.57,0,4,5,0.024033354729134836,-42.309999999999945,0.0
664,CASH_OUT,229.26,C000000017,8045.71,7816.45,C000011010,1841.37,1841.37,0,16,28,0.028491147313622584,-229.26000000000022,0.0
131,PAYMENT,169.4,C000000018,1658.49,1489.09,C000017780,2809.89,2979.29,0,11,6,0.10207955456194373,-169.4000000000001,169.4000000000001
662,TRANSFER,141.22,C000000019,4595.05,4453.83,C000017141,1103.55,1244.77,0,14,28,0.030726384612874098,-141.22000000000025,141.22000000000003
309,CASH_OUT,338.76,C000000020,9308.74,8969.98,C000015288,20.56,20.56,0,21,13,0.03638769718595793,-338.7600000000002,0.0
344,PAYMENT,62.82,C000000021,6854.27,6791.45,C000019274,45.95,108.77,0,8,15,0.009163752849997155,-62.82000000000062,62.81999999999999
492,PAYMENT,56.08,C000000022,22280.22,22224.14,C000012649,3021.79,3077.87,0,12,21,0.0025169178348402824,-56.080000000001746,56.07999999999993
414,DEBIT,2345.48,C000000023,6491.97,4146.49,C000017825,1272.24,1272.24,0,6,18,0.36123376513367533,-2345.4800000000005,0.0
386,PAYMENT,454.28,C000000024,3109.22,2654.94,C000014853,310.67,764.95,1,2,17,0.14606040730237732,-454.27999999999975,454.28000000000003
192,CASH_OUT,775.8,C000000025,951.34,175.54,C000015386,13.9,13.9,1,0,9,0.8146250288762416,-775.8000000000001,0.0
277,TRANSFER,1723.67,C000000026,1454.24,0.0,C000012453,75.24,1798.91,1,13,12,1.1844575465215361,-1454.24,1723.67
161,TRANSFER,424.91,C000000027,10047.48,9622.57,C000016509,219.21,644.12,0,17,7,0.04228599748419662,-424.90999999999985,424.90999999999997
460,PAYMENT,950.3,C000000028,313.33,0.0,C000018577,89.12,1039.42,1,4,20,3.0232558139534884,-313.33,950.3000000000001
314,DEBIT,6.3,C000000029,15657.59,15651.29,C000014105,49.68,49.68,0,2,14,0.00040233507614670285,-6.299999999999272,0.0
22,PAYMENT,223.25,C000000030,1955.27,1732.02,C000017537,785.84,1009.09,0,22,1,0.11412023902631027,-223.25,223.25
253,TRANSFER,102.98,C000000031,873.14,770.16,C000016453,7607.3,7710.28,0,13,11,0.11780721623538565,-102.98000000000002,102.97999999999956
561,CASH_OUT,4252.95,C000000032,573.59,0.0,C000012218,1453.89,1453.89,0,9,24,7.401712525452931,-573.59,0.0
475,CASH_OUT,948.89,C000000033,8197.23,7248.34,C000010147,156.21,156.21,0,19,20,0.11574327629256559,-948.8899999999994,0.0
59,CASH_IN,42.06,C000000034,2916.2,2958.26,C000011927,353.26,353.26,0,11,3,0.014417935006170302,42.0600000000004,0.0
511,TRANSFER,312.81,C000000035,32310.51,31997.7,C000013755,1380.86,1693.67,0,7,22,0.009681070305906472,-312.8099999999977,312.8100000000002
682,PAYMENT,207.55,C000000036,448.27,240.72,C000018272,122.32,329.87,0,10,29,0.46197164288735065,-207.54999999999998,207.55
476,CASH_IN,368.21,C000000037,1252.32,1620.53,C000016596,618.61,618.61,0,20,20,0.29378769986914754,368.21000000000004,0.0
700,CASH_OUT,19.34,C000000038,2595.85,2576.51,C000019952,197.95,197.95,0,4,30,0.00744748445231723,-19.33999999999969,0.0
190,PAYMENT,304.91,C000000039,965.08,660.17,C000010978,189.31,494.22,0,22,8,0.31561568400132495,-304.9100000000001,304.91
687,PAYMENT,94.04,C000000040,3008.44,2914.4,C000014903,16.86,110.9,0,15,29,0.031248338561327027,-94.03999999999996,94.04
563,DEBIT,261.1,C000000041,4813.84,4552.74,C000016053,440.88,440.88,0,11,24,0.05422817788337723,-261.10000000000036,0.0
567,PAYMENT,34.86,C000000042,6165.51,6130.65,C000012805,913.77,948.63,0,15,24,0.005653116592691814,-34.86000000000058,34.860000000000014
244,CASH_OUT,46.06,C000000043,28545.39,28499.33,C000017580,2179.72,2179.72,1,4,11,0.0016135140029965261,-46.05999999999767,0.0
505,TRANSFER,1552.6,C000000044,421.91,0.0,C000019778,12.37,1564.97,0,1,22,3.6712302854035133,-421.91,1552.6000000000001
131,PAYMENT,18.12,C000000045,4947.51,4929.39,C000014391,2713.65,2731.77,0,11,6,0.0036617082717828194,-18.11999999999989,18.11999999999989
485,CASH_OUT,21.0,C000000046,1129.56,1108.56,C000019346,1727.65,1727.65,0,5,21,0.01857486555335409,-21.0,0.0
647,PAYMENT,133.87,C000000047,5681.78,5547.91,C000016013,7668.96,7802.83,0,23,27,0.02355713224865295,-133.8699999999999,133.8699999999999
21,TRANSFER,31.7,C000000048,5693.03,5661.33,C000015884,194.81,226.51,0,21,1,0.005567234454331994,-31.699999999999818,31.69999999999999
167,TRANSFER,25.28,C000000049,678.32,653.04,C000015285,462.85,488.13,0,23,7,0.0372136842725078,-25.280000000000086,25.279999999999973
274,TRANSFER,183.12,C000000050,771.45,588.33,C000018805,51.89,235.01,0,10,12,0.2370638876302673,-183.12,183.12
388,CASH_OUT,7.31,C000000051,6421.87,6414.56,C000013579,356.44,356.44,1,4,17,0.0011381204975345913,-7.309999999999491,0.0
601,DEBIT,19.77,C000000052,3087.47,3067.7,C000014165,214.49,214.49,0,1,26,0.006401227792402063,-19.769999999999982,0.0
316,CASH_OUT,9028.95,C000000053,2144.3,0.0,C000014652,546.79,546.79,1,4,14,4.208712068242204,-2144.3,0.0
14,PAYMENT,372.02,C000000054,7998.27,7626.25,C000012957,370.18,742.2,0,14,1,0.046506743740366306,-372.02000000000044,372.02000000000004
242,PAYMENT,33.34,C000000055,8933.63,8900.29,C000015782,2045.05,2078.39,0,2,11,0.0037315479208428334,-33.33999999999833,33.33999999999992
346,TRANSFER,342.55,C000000056,1346.89,1004.34,C000013207,268.46,611.01,0,10,15,0.2541379489424211,-342.55000000000007,342.55
565,CASH_IN,461.58,C000000057,830.41,1291.99,C000010830,5147.16,5147.16,0,13,24,0.5551773493222357,461.58000000000004,0.0
340,DEBIT,1084.45,C000000058,449.04,0.0,C000014598,2.9,2.9,0,4,15,2.409674695582615,-449.04,0.0
92,DEBIT,115.09,C000000059,3134.36,3019.27,C000019166,5357.05,5357.05,0,20,4,0.036707108593590526,-115.09000000000015,0.0
367,PAYMENT,1046.28,C000000060,352.57,0.0,C000018922,25.6,1071.88,0,7,16,2.959187713889753,-352.57,1046.2800000000002
455,TRANSFER,2.52,C000000061,3460.41,3457.89,C000019093,2089.63,2092.15,0,23,19,0.0007280270178915529,-2.519999999999982,2.519999999999982
428,TRANSFER,17.95,C000000062,18494.99,18477.04,C000010660,1558.12,1576.07,0,20,18,0.0009704806285037999,-17.950000000000728,17.950000000000045
509,PAYMENT,205.97,C000000063,1754.27,1548.3,C000017806,47.2,253.17,0,5,22,0.11734377047405813,-205.97000000000003,205.96999999999997
35,PAYMENT,286.94,C000000064,1333.68,1046.74,C000010761,4660.52,4947.46,0,11,2,0.21498786225911828,-286.94000000000005,286.9399999999996
206,CASH_IN,23.96,C000000065,59680.89,59704.85,C000018524,37.7,37.7,0,14,9,0.0004014618169766407,23.959999999999127,0.0
81,PAYMENT,249.35,C000000066,28697.14,28447.79,C000010959,28.79,278.14,0,9,4,0.008688716411586256,-249.34999999999854,249.35
562,PAYMENT,42.62,C000000067,946.81,904.19,C000019951,164.64,207.26,0,10,24,0.04496681824416286,-42.61999999999989,42.620000000000005
388,PAYMENT,85.29,C000000068,3672.1,3586.81,C000015841,181.23,266.52,0,4,17,0.023220168250251833,-85.28999999999996,85.28999999999999
2,CASH_IN,1152.34,C000000069,4880.57,6032.91,C000016800,120.1,120.1,1,2,1,0.23605930059386632,1152.3400000000001,0.0
390,TRANSFER,914.04,C000000070,4046.03,3131.99,C000014409,464.13,1378.17,0,6,17,0.22585451553361352,-914.0400000000004,914.0400000000001
566,CASH_OUT,20.2,C000000071,45342.96,45322.76,C000011856,846.16,846.16,0,14,24,0.00044548380864838446,-20.19999999999709,0.0
106,CASH_IN,17.91,C000000072,3397.67,3415.58,C000010355,343.59,343.59,0,10,5,0.005269708444773985,17.909999999999854,0.0
477,PAYMENT,65.21,C000000073,4255.01,4189.8,C000015622,39.4,104.61,0,21,20,0.015321862495623834,-65.21000000000004,65.21000000000001
703,CASH_OUT,140.68,C000000074,8374.89,8234.21,C000012273,73.32,73.32,0,7,30,0.016795827070317307,-140.6800000000003,0.0
402,PAYMENT,39.81,C000000075,17763.12,17723.31,C000014195,27319.9,27359.71,0,18,17,0.0022410341745045634,-39.80999999999767,39.80999999999767
730,PAYMENT,1189.5,C000000076,12153.21,10963.71,C000014891,49.37,1238.87,0,10,31,0.09786732333899119,-1189.5,1189.5
556,DEBIT,297.31,C000000077,6681.7,6384.39,C000013163,53.25,53.25,0,4,24,0.04448950274589612,-297.3099999999995,0.0
162,CASH_OUT,334.34,C000000078,287.71,0.0,C000013881,18.1,18.1,0,18,7,1.1580478681029407,-287.71,0.0
202,PAYMENT,11.79,C000000079,1433.38,1421.59,C000016518,2808.16,2819.95,0,10,9,0.008219579191009355,-11.790000000000191,11.789999999999964
270,PAYMENT,1532.39,C000000080,10189.69,8657.3,C000018396,2753.34,4285.73,0,6,12,0.15037156463399437,-1532.3900000000012,1532.3899999999994
271,TRANSFER,0.53,C000000081,4339.86,4339.33,C000013966,892.67,893.2,0,7,12,0.00012209562160493546,-0.5299999999997453,0.5300000000000864
456,PAYMENT,786.91,C000000082,10292.73,9505.82,C000019966,5289.48,6076.39,0,0,20,0.07644556443582647,-786.9099999999999,786.9100000000008
462,PAYMENT,961.62,C000000083,50551.56,49589.94,C000010609,95.01,1056.63,0,6,20,0.019022182061600838,-961.6199999999953,961.6200000000001
727,PAYMENT,62.5,C000000084,510.07,447.57,C000018077,40.09,102.59,0,7,31,0.1222924452619015,-62.5,62.5
252,PAYMENT,1892.82,C000000085,16430.02,14537.2,C000011141,700.49,2593.31,0,12,11,0.11519796092999704,-1892.8199999999997,1892.82
702,DEBIT,130.82,C000000086,1816.11,1685.29,C000014875,1038.96,1038.96,0,6,30,0.07199344013295837,-130.81999999999994,0.0
296,PAYMENT,168.15,C000000087,12125.0,11956.85,C000014997,590.41,758.56,0,8,13,0.013866897575457695,-168.14999999999964,168.14999999999998
725,PAYMENT,292.67,C000000088,2802.22,2509.55,C000014924,217.33,510.0,0,5,31,0.10440493432552565,-292.6699999999996,292.66999999999996
720,TRANSFER,86955.33,C000000089,72439.49,0.0,C000018174,3152.26,90107.59,1,0,31,1.200369158187638,-72439.49,86955.33
338,DEBIT,2183.9,C000000090,3623.26,1439.36,C000016236,369.73,369.73,0,2,15,0.6025781814770463,-2183.9000000000005,0.0
53,PAYMENT,603.21,C000000091,1140.51,537.3,C000015197,669.2,1272.41,0,5,3,0.5284316387942287,-603.21,603.21
217,PAYMENT,23.91,C000000092,5596.03,5572.12,C000017918,380.84,404.75,0,1,10,0.004271908494326455,-23.909999999999854,23.910000000000025
